"","RIRS_pdi_c","RIRS_idv_c","RIRS_lto_c","RIRS_ivr_c","RIRS_mas_c","RIRS_uai_c"
"model_name","RIRS_pdi_c","RIRS_idv_c","RIRS_lto_c","RIRS_ivr_c","RIRS_mas_c","RIRS_uai_c"
"dv","agility2","agility2","agility2","agility2","agility2","agility2"
"cul","pdi_c","idv_c","lto_c","ivr_c","mas_c","uai_c"
"intercept","-0.0443","-0.0126","-0.0958","-0.0032","-0.0477","-0.1155"
"intercept_se","0.1418","0.1371","0.1401","0.1562","0.1601","0.1430"
"intercept_t","-0.3122","-0.0916","-0.6838","-0.0205","-0.2978","-0.8077"
"intercept_sig"," "," "," "," "," "," "
"culc"," 0.0155","-0.0150","-0.0002","-0.0158"," 0.0027"," 0.0000"
"culc_se","0.0073","0.0052","0.0078","0.0074","0.0068","0.0068"
"culc_t"," 2.1181","-2.8778","-0.0241","-2.1457"," 0.3982","-0.0011"
"culc_sig","*","**"," ","*"," "," "
"firmsizestd","0.3421","0.3283","0.3332","0.3545","0.3512","0.3413"
"firmsizestd_se","0.0883","0.0888","0.0886","0.0883","0.0884","0.0886"
"firmsizestd_t","3.8725","3.6983","3.7594","4.0129","3.9712","3.8537"
"firmsizestd_sig","***","***","***","***","***","***"
"network2xcj","0.2107","0.2094","0.2048","0.2047","0.1996","0.2074"
"network2xcj_se","0.0791","0.0790","0.0791","0.0790","0.0788","0.0795"
"network2xcj_t","2.6630","2.6501","2.5899","2.5902","2.5325","2.6089"
"network2xcj_sig","*","*","*","*","*","*"
"gmci2016c","0.0565","0.0776","0.0923","0.0381","0.0500","0.0722"
"gmci2016c_se","0.0517","0.0465","0.0890","0.0603","0.0878","0.0785"
"gmci2016c_t","1.0915","1.6694","1.0375","0.6323","0.5694","0.9196"
"gmci2016c_sig"," "," "," "," "," "," "
"firmsize_sq","-0.0232","-0.0220","-0.0224","-0.0241","-0.0239","-0.0231"
"firmsize_sq_se","0.0088","0.0089","0.0088","0.0088","0.0088","0.0088"
"firmsize_sq_t","-2.6275","-2.4787","-2.5284","-2.7348","-2.7085","-2.6104"
"firmsize_sq_sig","*","*","*","*","*","*"
"culc_network_int"," 0.0049","-0.0021"," 0.0002","-0.0043"," 0.0059","-0.0015"
"culc_network_int_se","0.0044","0.0033","0.0034","0.0045","0.0032","0.0033"
"culc_network_int_t"," 1.1121","-0.6405"," 0.0695","-0.9631"," 1.8300","-0.4604"
"culc_network_int_sig"," "," "," "," ","+"," "
"var_firm","0.6821310","0.6809301","0.6829691","0.6821586","0.6790831","0.6830198"
"var_intercept","0.1389170","0.1470786","0.1572285","0.1955674","0.2663556","0.2111467"
"var_culc","0.0002829863","0.0001453179","0.0002205241","0.0002976471","0.0001469952","0.0001411678"
"cov_int_culc"," 0.0048736159","-0.0043117326","-0.0009008664","-0.0064321719"," 0.0050128348","-0.0031500174"
"deviance","1451.027","1447.852","1460.308","1453.084","1456.523","1459.601"
"para_count","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0"
"aic","1473.027","1469.852","1482.308","1475.084","1478.523","1481.601"
"bic","1521.001","1517.826","1530.282","1523.059","1526.497","1529.575"
"group_count","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579"
